species,Syagrus,Butia,Oenocarpus,Euterpe
Anchylorhynchus_aegrotus,1,0,0,0
Anchylorhynchus_albidus,1,0,0,0
Anchylorhynchus_amazonicus,1,0,0,0
Anchylorhynchus_imitator,1,0,0,0
Anchylorhynchus_bicarinatus,0,0,1,0
Anchylorhynchus_bicolor,0,1,0,0
Anchylorhynchus_bucki,1,0,0,0
Anchylorhynchus_burmeisteri,0,1,0,0
Anchylorhynchus_multisquamis,1,0,0,0
Anchylorhynchus_camposi,1,0,0,0
Anchylorhynchus_rectus,1,0,0,0
Anchylorhynchus_minimus,0,0,0,1
Anchylorhynchus_trapezicollis,1,0,0,0
Anchylorhynchus_latipes,1,0,0,0
Anchylorhynchus_goiano,1,0,0,0
Anchylorhynchus_tremolerasi,0,1,0,0
Anchylorhynchus_chrysomeloides,0,1,0,0
Anchylorhynchus_tricarinatus,0,0,1,0
Anchylorhynchus_variabilis,0.5,0.5,0,0
Anchylorhynchus_vittipennis,1,0,0,0
Anchylorhynchus_pinnocchio,1,0,0,0
Anchylorhynchus_centrosquamatus,1,0,0,0
Anchylorhynchus_luteobrunneus,1,0,0,0
Anchylorhynchus_parcus,0.25,0.25,0.25,0.25
Anchylorhynchus_vanini,1,0,0,0
